page,product_index,title,price,description,reviews,rating,stock_status,promotions,visual_quality,page_layout
3,1,Asus VivoBook Ma,399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10",1,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. La page inclut une barre latérale de navigation à gauche et un bandeau d'en-tête (header) fixe.
3,2,Asus VivoBook E5,399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",1,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. La page inclut une barre latérale de navigation à gauche et un bandeau d'en-tête (header) fixe.
3,3,Lenovo ThinkPad,404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",12,4,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. La page inclut une barre latérale de navigation à gauche et un bandeau d'en-tête (header) fixe.
3,4,Acer Aspire 3 A3,408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",3,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. La page inclut une barre latérale de navigation à gauche et un bandeau d'en-tête (header) fixe.
3,5,Lenovo V110-15ISK,409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",12,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. La page inclut une barre latérale de navigation à gauche et un bandeau d'en-tête (header) fixe.
3,6,Acer Aspire ES1-,410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",3,4,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. La page inclut une barre latérale de navigation à gauche et un bandeau d'en-tête (header) fixe.
4,1,Asus VivoBook 15,410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10",1,4,Inconnu,non,mauvaise,"Grille de produits sur 3 colonnes avec barre latérale de navigation à gauche. Chaque fiche produit affiche le titre, le prix, une description technique concise, une notation par étoiles et le nombre d'avis. Les images produits sont des placeholders (icônes de panier)."
4,2,Packard 255 G2,416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",7,4,Inconnu,non,mauvaise,"Grille de produits sur 3 colonnes avec barre latérale de navigation à gauche. Chaque fiche produit affiche le titre, le prix, une description technique concise, une notation par étoiles et le nombre d'avis. Les images produits sont des placeholders (icônes de panier)."
4,3,Asus EeeBook R41,433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1,4,Inconnu,non,mauvaise,"Grille de produits sur 3 colonnes avec barre latérale de navigation à gauche. Chaque fiche produit affiche le titre, le prix, une description technique concise, une notation par étoiles et le nombre d'avis. Les images produits sont des placeholders (icônes de panier)."
4,4,Acer Aspire 3 A3,436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",3,4,Inconnu,non,mauvaise,"Grille de produits sur 3 colonnes avec barre latérale de navigation à gauche. Chaque fiche produit affiche le titre, le prix, une description technique concise, une notation par étoiles et le nombre d'avis. Les images produits sont des placeholders (icônes de panier)."
4,5,Acer Aspire ES1-,436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",3,4,Inconnu,non,mauvaise,"Grille de produits sur 3 colonnes avec barre latérale de navigation à gauche. Chaque fiche produit affiche le titre, le prix, une description technique concise, une notation par étoiles et le nombre d'avis. Les images produits sont des placeholders (icônes de panier)."
4,6,Acer Extensa 15,439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",3,4,Inconnu,non,mauvaise,"Grille de produits sur 3 colonnes avec barre latérale de navigation à gauche. Chaque fiche produit affiche le titre, le prix, une description technique concise, une notation par étoiles et le nombre d'avis. Les images produits sont des placeholders (icônes de panier)."
5,1,Acer Aspire ES1-,454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",3,5,Inconnu,non,mauvaise,"Grille de produits en 3 colonnes, avec une barre latérale de navigation à gauche. Utilisation d'une image générique (panier) pour tous les produits."
5,2,Lenovo V110-15IS,454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",12,5,Inconnu,non,mauvaise,"Grille de produits en 3 colonnes, avec une barre latérale de navigation à gauche. Utilisation d'une image générique (panier) pour tous les produits."
5,3,Acer Aspire A315,457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",3,4,Inconnu,non,mauvaise,"Grille de produits en 3 colonnes, avec une barre latérale de navigation à gauche. Utilisation d'une image générique (panier) pour tous les produits."
5,4,Lenovo V110-15IK,465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",12,5,Inconnu,non,mauvaise,"Grille de produits en 3 colonnes, avec une barre latérale de navigation à gauche. Utilisation d'une image générique (panier) pour tous les produits."
5,5,Asus VivoBook 15,468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En",1,5,Inconnu,non,mauvaise,"Grille de produits en 3 colonnes, avec une barre latérale de navigation à gauche. Utilisation d'une image générique (panier) pour tous les produits."
5,6,Acer Aspire ES1-,469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,4,Inconnu,non,mauvaise,"Grille de produits en 3 colonnes, avec une barre latérale de navigation à gauche. Utilisation d'une image générique (panier) pour tous les produits."
6,1,Lenovo V510 Blac,484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",12,4,Inconnu,non,mauvaise,Catalogue de produits en grille 3x2 avec barre latérale de navigation. Les images de produits sont des placeholders génériques (caddie).
6,2,Acer Aspire ES1-,485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",3,4,Inconnu,non,mauvaise,Catalogue de produits en grille 3x2 avec barre latérale de navigation. Les images de produits sont des placeholders génériques (caddie).
6,3,Lenovo V510 Blac,487.8,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",12,4,Inconnu,non,mauvaise,Catalogue de produits en grille 3x2 avec barre latérale de navigation. Les images de produits sont des placeholders génériques (caddie).
6,4,Acer Swift 1 SF1,488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",3,4,Inconnu,non,mauvaise,Catalogue de produits en grille 3x2 avec barre latérale de navigation. Les images de produits sont des placeholders génériques (caddie).
6,5,Dell Vostro 15,488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",9,4,Inconnu,non,mauvaise,Catalogue de produits en grille 3x2 avec barre latérale de navigation. Les images de produits sont des placeholders génériques (caddie).
6,6,Acer Aspire 3 A3,494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",3,4,Inconnu,non,mauvaise,Catalogue de produits en grille 3x2 avec barre latérale de navigation. Les images de produits sont des placeholders génériques (caddie).
7,1,Dell Vostro 15 (,497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",9,4,Inconnu,non,mauvaise,Disposition en grille de 3 colonnes pour la liste des produits. Une barre de navigation latérale est présente à gauche. Chaque produit utilise une image de substitution (panier d'achat).
7,2,Lenovo V510 Blac,498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",12,4,Inconnu,non,mauvaise,Disposition en grille de 3 colonnes pour la liste des produits. Une barre de navigation latérale est présente à gauche. Chaque produit utilise une image de substitution (panier d'achat).
7,3,HP 250 G3,520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",7,4,Inconnu,non,mauvaise,Disposition en grille de 3 colonnes pour la liste des produits. Une barre de navigation latérale est présente à gauche. Chaque produit utilise une image de substitution (panier d'achat).
7,4,Acer Spin 5,564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i7-7100U, 4GB, 128GB SSD, Windows 10 Home",3,4,Inconnu,non,mauvaise,Disposition en grille de 3 colonnes pour la liste des produits. Une barre de navigation latérale est présente à gauche. Chaque produit utilise une image de substitution (panier d'achat).
7,5,HP 350 G1,577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",7,4,Inconnu,non,mauvaise,Disposition en grille de 3 colonnes pour la liste des produits. Une barre de navigation latérale est présente à gauche. Chaque produit utilise une image de substitution (panier d'achat).
7,6,Aspire E1-572G,581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2,4,Inconnu,non,mauvaise,Disposition en grille de 3 colonnes pour la liste des produits. Une barre de navigation latérale est présente à gauche. Chaque produit utilise une image de substitution (panier d'achat).
8,1,Pavilion,609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",5,4,Inconnu,non,mauvaise,Grille de produits 2x3 avec barre de navigation latérale. Utilisation de placeholders (icône de panier) pour les images produits.
8,2,Acer Aspire A515,679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",3,4,Inconnu,non,mauvaise,Grille de produits 2x3 avec barre de navigation latérale. Utilisation de placeholders (icône de panier) pour les images produits.
8,3,Dell Inspiron 15,679,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",9,4,Inconnu,non,mauvaise,Grille de produits 2x3 avec barre de navigation latérale. Utilisation de placeholders (icône de panier) pour les images produits.
8,4,Asus VivoBook S1,729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",1,4,Inconnu,non,mauvaise,Grille de produits 2x3 avec barre de navigation latérale. Utilisation de placeholders (icône de panier) pour les images produits.
8,5,ProBook,739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",5,4,Inconnu,non,mauvaise,Grille de produits 2x3 avec barre de navigation latérale. Utilisation de placeholders (icône de panier) pour les images produits.
8,6,Inspiron 15,745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",11,4,Inconnu,non,mauvaise,Grille de produits 2x3 avec barre de navigation latérale. Utilisation de placeholders (icône de panier) pour les images produits.
9,1,Asus ROG STRIX G,799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",1,4,Inconnu,non,mauvaise,"Grille de produits sur trois colonnes, précédée d'une barre latérale de navigation verticale à gauche. Les images produits sont des icônes génériques."
9,2,Acer Nitro 5 AN5,809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",3,4,Inconnu,non,mauvaise,"Grille de produits sur trois colonnes, précédée d'une barre latérale de navigation verticale à gauche. Les images produits sont des icônes génériques."
9,3,Asus ROG STRIX G,899,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10",1,4,Inconnu,non,mauvaise,"Grille de produits sur trois colonnes, précédée d'une barre latérale de navigation verticale à gauche. Les images produits sont des icônes génériques."
9,4,Lenovo ThinkPad,999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",12,4,Inconnu,non,mauvaise,"Grille de produits sur trois colonnes, précédée d'une barre latérale de navigation verticale à gauche. Les images produits sont des icônes génériques."
9,5,ThinkPad Yoga,1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache.",10,4,Inconnu,non,mauvaise,"Grille de produits sur trois colonnes, précédée d'une barre latérale de navigation verticale à gauche. Les images produits sont des icônes génériques."
9,6,Lenovo ThinkPad,1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",12,4,Inconnu,non,mauvaise,"Grille de produits sur trois colonnes, précédée d'une barre latérale de navigation verticale à gauche. Les images produits sont des icônes génériques."
10,1,Dell Inspiron 15,1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10",9,5,Inconnu,non,mauvaise,"Layout de grille standard de 3 colonnes pour les produits, avec une barre de navigation (sidebar) à gauche pour les catégories (Laptops, Tablets, Phones)."
10,2,MSI GL72M 7RDX,1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",3,4,Inconnu,non,mauvaise,"Layout de grille standard de 3 colonnes pour les produits, avec une barre de navigation (sidebar) à gauche pour les catégories (Laptops, Tablets, Phones)."
10,3,MSI GL72M 7RDX,1099,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10",3,4,Inconnu,non,mauvaise,"Layout de grille standard de 3 colonnes pour les produits, avec une barre de navigation (sidebar) à gauche pour les catégories (Laptops, Tablets, Phones)."
10,4,Asus ROG Strix G,1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",1,5,Inconnu,non,mauvaise,"Layout de grille standard de 3 colonnes pour les produits, avec une barre de navigation (sidebar) à gauche pour les catégories (Laptops, Tablets, Phones)."
10,5,Dell Latitude 52,1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",9,4,Inconnu,non,mauvaise,"Layout de grille standard de 3 colonnes pour les produits, avec une barre de navigation (sidebar) à gauche pour les catégories (Laptops, Tablets, Phones)."
10,6,Dell Latitude 54,1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",9,3,Inconnu,non,mauvaise,"Layout de grille standard de 3 colonnes pour les produits, avec une barre de navigation (sidebar) à gauche pour les catégories (Laptops, Tablets, Phones)."
11,1,Lenovo Legion Y5,1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX",12,4,Inconnu,non,mauvaise,Layout de grille standard de commerce électronique (3 colonnes) avec une barre de navigation latérale gauche. Six produits sont visibles sur cette partie de la page.
11,2,Toshiba Portege,1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",7,4,Inconnu,non,mauvaise,Layout de grille standard de commerce électronique (3 colonnes) avec une barre de navigation latérale gauche. Six produits sont visibles sur cette partie de la page.
11,3,Acer Predator He,1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB,",3,4,Inconnu,non,mauvaise,Layout de grille standard de commerce électronique (3 colonnes) avec une barre de navigation latérale gauche. Six produits sont visibles sur cette partie de la page.
11,4,Acer Aspire 7 A7,1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10",3,4,Inconnu,non,mauvaise,Layout de grille standard de commerce électronique (3 colonnes) avec une barre de navigation latérale gauche. Six produits sont visibles sur cette partie de la page.
11,5,Dell Inspiron 17,1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10",9,4,Inconnu,non,mauvaise,Layout de grille standard de commerce électronique (3 colonnes) avec une barre de navigation latérale gauche. Six produits sont visibles sur cette partie de la page.
11,6,Dell Latitude 54,1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",9,4,Inconnu,non,mauvaise,Layout de grille standard de commerce électronique (3 colonnes) avec une barre de navigation latérale gauche. Six produits sont visibles sur cette partie de la page.
12,1,Lenovo Legion Y5,1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",12,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Sidebar de navigation à gauche. Les images produits sont des placeholders (panier).
12,2,Asus AsusPro Adv,1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",1,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Sidebar de navigation à gauche. Les images produits sont des placeholders (panier).
12,3,Acer Nitro 5 AN5,1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10",3,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Sidebar de navigation à gauche. Les images produits sont des placeholders (panier).
12,4,Dell Latitude 54,1143.4,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",9,4,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Sidebar de navigation à gauche. Les images produits sont des placeholders (panier).
12,5,Dell Inspiron 15,1144.2,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",9,4,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Sidebar de navigation à gauche. Les images produits sont des placeholders (panier).
12,6,Dell Latitude 55,1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",9,4,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Sidebar de navigation à gauche. Les images produits sont des placeholders (panier).
13,1,Lenovo Legion Y5,1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",12,4,Inconnu,non,mauvaise,"Grille 2x3 visible, avec navigation par catégorie sur le côté gauche. Chaque produit utilise une icône de panier générique comme image."
13,2,MSI GP62M 7RDX L,1149,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10",3,4,Inconnu,non,mauvaise,"Grille 2x3 visible, avec navigation par catégorie sur le côté gauche. Chaque produit utilise une icône de panier générique comme image."
13,3,Lenovo Yoga 720,1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10",12,4,Inconnu,non,mauvaise,"Grille 2x3 visible, avec navigation par catégorie sur le côté gauche. Chaque produit utilise une icône de panier générique comme image."
13,4,Toshiba Portege,1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",7,4,Inconnu,non,mauvaise,"Grille 2x3 visible, avec navigation par catégorie sur le côté gauche. Chaque produit utilise une icône de panier générique comme image."
13,5,Acer TravelMate,1170.1,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",3,4,Inconnu,non,mauvaise,"Grille 2x3 visible, avec navigation par catégorie sur le côté gauche. Chaque produit utilise une icône de panier générique comme image."
13,6,Dell Latitude 55,1178.19,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",9,4,Inconnu,non,mauvaise,"Grille 2x3 visible, avec navigation par catégorie sur le côté gauche. Chaque produit utilise une icône de panier générique comme image."
14,1,ThinkPad T540p,1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",10,5,Inconnu,non,mauvaise,Grille de produits 3 colonnes avec menu de navigation latéral 'Laptops' sélectionné.
14,2,MSI GS63 7RD Ste,1179,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows",3,5,Inconnu,non,mauvaise,Grille de produits 3 colonnes avec menu de navigation latéral 'Laptops' sélectionné.
14,3,Dell Latitude 54,1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",9,5,Inconnu,non,mauvaise,Grille de produits 3 colonnes avec menu de navigation latéral 'Laptops' sélectionné.
14,4,Acer Predator He,1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB,",3,4,Inconnu,non,mauvaise,Grille de produits 3 colonnes avec menu de navigation latéral 'Laptops' sélectionné.
14,5,MSI GL62M 7REX,1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",3,4,Inconnu,non,mauvaise,Grille de produits 3 colonnes avec menu de navigation latéral 'Laptops' sélectionné.
14,6,MSI GL62M 7REX2,1199,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",3,4,Inconnu,non,mauvaise,Grille de produits 3 colonnes avec menu de navigation latéral 'Laptops' sélectionné.
15,1,Lenovo Yoga 910,1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",12,5,Inconnu,non,mauvaise,"Catalogue de produits affiché en grille 2x3, avec une barre de navigation à gauche. Toutes les images produits sont des placeholders (icônes de panier)."
15,2,Toshiba Portege,1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",7,5,Inconnu,non,mauvaise,"Catalogue de produits affiché en grille 2x3, avec une barre de navigation à gauche. Toutes les images produits sont des placeholders (icônes de panier)."
15,3,Lenovo IdeaPad M,1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",12,5,Inconnu,non,mauvaise,"Catalogue de produits affiché en grille 2x3, avec une barre de navigation à gauche. Toutes les images produits sont des placeholders (icônes de panier)."
